Geography,Estimate; Median value (dollars),Year
Manassas city,278900,2011
Manassas Park city,261500,2011
Martinsville city,90500,2011
Newport News city,204100,2011
Norfolk city,211600,2011
Norton city,82800,2011
Petersburg city,119600,2011
Poquoson city,332800,2011
Portsmouth city,184700,2011
Radford city,152200,2011
Richmond city,204500,2011
Roanoke city,131800,2011
Salem city,166200,2011
Staunton city,167600,2011
Suffolk city,254800,2011
Virginia Beach city,276500,2011
Waynesboro city,172100,2011
Williamsburg city,331200,2011
Winchester city,255000,2011
Accomack,153800,2012
Albemarle,332400,2012
Alleghany,117700,2012
Amelia,201100,2012
Amherst,151800,2012
Appomattox,145200,2012
Arlington,577300,2012
Augusta,195200,2012
Bath,147900,2012
Bedford,167750,2012
Bland,98700,2012
Botetourt,215500,2012
Brunswick,102100,2012
Buchanan,63900,2012
Buckingham,117500,2012
Campbell,146800,2012
Caroline,203000,2012
Carroll,100200,2012
Charles City,150200,2012
Charlotte,98900,2012
Chesterfield,233400,2012
Clarke,348000,2012
Craig,153900,2012
Culpeper,265600,2012
Cumberland,143700,2012
Dickenson,74500,2012
Dinwiddie,164600,2012
Essex,165700,2012
Fairfax,480200,2012
Fauquier,363600,2012
Floyd,151500,2012
Fluvanna,234700,2012
Franklin,164300,2012
Frederick,234100,2012
Giles,103900,2012
Gloucester,229100,2012
Goochland,341300,2012
Grayson,96200,2012
Greene,228500,2012
Greensville,105300,2012
Halifax,104900,2012
Hanover,271700,2012
Henrico,226500,2012
Henry,94500,2012
Highland,184700,2012
Isle of Wight,252000,2012
James City,336600,2012
King and Queen,161300,2012
King George,281900,2012
King William,210500,2012
Lancaster,240300,2012
Lee,78200,2012
Loudoun,448700,2012
Louisa,199100,2012
Lunenburg,105200,2012
Madison,227700,2012
Mathews,227800,2012
Mecklenburg,124000,2012
Middlesex,260300,2012
Montgomery,200900,2012
Nelson,190700,2012
New Kent,255500,2012
Northampton,172700,2012
Northumberland,246500,2012
Nottoway,126400,2012
Orange,228400,2012
Page,178600,2012
Patrick,108100,2012
Pittsylvania,109700,2012
Powhatan,280400,2012
Prince Edward,150900,2012
Prince George,208600,2012
Prince William,330700,2012
Pulaski,129200,2012
Rappahannock,417700,2012
Richmond,161000,2012
Roanoke,195700,2012
Rockbridge,179400,2012
