Geography,Year,EmploymentPopulationRatio
Caroline,2010,59.8
Carroll,2010,51.9
Charles City,2010,57.4
Charlotte,2010,49.6
Chesterfield,2010,66.2
Clarke,2010,63.6
Craig,2010,64.7
Culpeper,2010,63.2
Cumberland,2010,53.7
Dickenson,2010,36.6
Dinwiddie,2010,57.0
Essex,2010,59.6
Fairfax,2010,69.4
Fauquier,2010,67.2
Floyd,2010,59.0
Fluvanna,2010,59.3
Franklin,2010,55.2
Frederick,2010,64.6
Giles,2010,52.2
Gloucester,2010,61.0
Goochland,2010,43.1
Grayson,2010,51.0
Greene,2010,64.9
Greensville,2010,41.8
Halifax,2010,49.8
Hanover,2010,67.2
Henrico,2010,66.2
Henry,2010,50.9
Highland,2010,53.7
Isle of Wight,2010,62.5
James City,2010,58.1
King and Queen,2010,56.6
King George,2010,59.8
King William,2010,64.9
Lancaster,2010,52.9
Lee,2010,45.5
Loudoun,2010,74.1
Louisa,2010,60.5
Lunenburg,2010,46.1
Madison,2010,61.8
Mathews,2010,49.2
Mecklenburg,2010,47.8
Middlesex,2010,51.3
Montgomery,2010,55.8
Nelson,2010,57.5
New Kent,2010,62.7
Northampton,2010,54.9
Northumberland,2010,52.2
Nottoway,2010,52.1
Orange,2010,54.7
Page,2010,55.5
Patrick,2010,48.6
Pittsylvania,2010,54.4
Powhatan,2010,46.2
Prince Edward,2010,51.1
Prince George,2010,47.7
Prince William,2010,69.7
Pulaski,2010,53.5
Rappahannock,2010,61.1
Richmond,2010,48.2
Roanoke,2010,64.5
Rockbridge,2010,58.3
Rockingham,2010,63.1
Russell,2010,48.5
Scott,2010,48.7
Shenandoah,2010,59.9
Smyth,2010,49.8
Southampton,2010,56.2
Spotsylvania,2010,64.7
Stafford,2010,62.6
Surry,2010,58.2
Sussex,2010,51.1
Tazewell,2010,47.5
Warren,2010,65.3
Washington,2010,53.9
Westmoreland,2010,56.0
Wise,2010,45.0
Wythe,2010,56.5
York,2010,58.0
Alexandria city,2010,73.6
Bedford city,2010,62.3
Bristol city,2010,51.1
Buena Vista city,2010,59.5
Charlottesville city,2010,57.0
Chesapeake city,2010,63.3
Colonial Heights city,2010,57.4
Covington city,2010,53.0
Danville city,2010,50.1
Emporia city,2010,50.6
Fairfax city,2010,63.8
Falls Church city,2010,68.8
Franklin city,2010,47.0
Fredericksburg city,2010,55.0
Galax city,2010,48.4
Hampton city,2010,57.1
Harrisonburg city,2010,48.3
Hopewell city,2010,50.3
Lexington city,2010,32.7
Lynchburg city,2010,53.6
Manassas city,2010,70.6
Manassas Park city,2010,73.8
Martinsville city,2010,49.4
Newport News city,2010,58.4
Norfolk city,2010,53.0
Norton city,2010,59.1
Petersburg city,2010,49.7
Poquoson city,2010,62.3
Portsmouth city,2010,56.0
Radford city,2010,46.9
Richmond city,2010,58.0
Roanoke city,2010,58.6
Salem city,2010,57.6
Staunton city,2010,56.9
Suffolk city,2010,59.6
Virginia Beach city,2010,61.7
Waynesboro city,2010,53.7
Williamsburg city,2010,46.9
Winchester city,2010,64.7
Accomack,2011,54.7
Albemarle,2011,60.4
Alleghany,2011,54.4
Amelia,2011,54.4
Amherst,2011,57.7
Appomattox,2011,55.8
Arlington,2011,74.9
Augusta,2011,57.6
Bath,2011,59.1
Bedford,2011,60.4
Bland,2011,47.7
Botetourt,2011,62.6
Brunswick,2011,42.8
Buchanan,2011,36.6
Buckingham,2011,34.3
Campbell,2011,58.1
Caroline,2011,58.6
Carroll,2011,52.0
Charles City,2011,56.7
Charlotte,2011,50.8
Chesterfield,2011,65.6
Clarke,2011,62.7
Craig,2011,63.9
Culpeper,2011,62.1
Cumberland,2011,53.8
Dickenson,2011,36.6
Dinwiddie,2011,55.0
Essex,2011,57.6
Fairfax,2011,68.9
Fauquier,2011,66.4
Floyd,2011,59.1
Fluvanna,2011,58.6
Franklin,2011,55.4
Frederick,2011,64.7
Giles,2011,52.5
Gloucester,2011,60.3
Goochland,2011,52.7
Grayson,2011,50.5
Greene,2011,64.3
Greensville,2011,37.7
Halifax,2011,48.1
Hanover,2011,66.3
Henrico,2011,65.7
Henry,2011,50.1
Highland,2011,52.1
Isle of Wight,2011,61.1
James City,2011,57.7
King and Queen,2011,56.0
King George,2011,62.3
King William,2011,64.7
Lancaster,2011,53.2
Lee,2011,43.0
Loudoun,2011,73.6
Louisa,2011,60.7
Lunenburg,2011,45.0
Madison,2011,63.8
Mathews,2011,50.2
Mecklenburg,2011,45.8
Middlesex,2011,49.4
Montgomery,2011,55.9
Nelson,2011,57.1
New Kent,2011,62.7
Northampton,2011,52.1
Northumberland,2011,50.5
Nottoway,2011,51.8
Orange,2011,54.2
Page,2011,55.3
Patrick,2011,47.4
Pittsylvania,2011,53.6
Powhatan,2011,53.6
Prince Edward,2011,46.2
Prince George,2011,46.2
Prince William,2011,69.3
Pulaski,2011,53.0
Rappahannock,2011,62.8
Richmond,2011,47.2
Roanoke,2011,63.2
Rockbridge,2011,55.3
Rockingham,2011,62.8
Russell,2011,46.3
Scott,2011,47.1
Shenandoah,2011,58.8
Smyth,2011,49.5
Southampton,2011,54.7
Spotsylvania,2011,64.1
Stafford,2011,63.3
Surry,2011,57.3
Sussex,2011,45.8
Tazewell,2011,46.9
Warren,2011,65.4
Washington,2011,54.6
Westmoreland,2011,53.6
Wise,2011,44.2
Wythe,2011,55.9
York,2011,58.0
Alexandria city,2011,73.1
Bedford city,2011,54.2
Bristol city,2011,48.7
Buena Vista city,2011,55.4
Charlottesville city,2011,56.6
Chesapeake city,2011,62.3
Colonial Heights city,2011,57.8
Covington city,2011,51.8
Danville city,2011,48.7
Emporia city,2011,48.5
Fairfax city,2011,64.8
Falls Church city,2011,68.7
Franklin city,2011,46.1
Fredericksburg city,2011,55.1
Galax city,2011,50.5
Hampton city,2011,56.0
Harrisonburg city,2011,48.6
Hopewell city,2011,47.7
Lexington city,2011,32.1
Lynchburg city,2011,53.1
Manassas city,2011,69.3
Manassas Park city,2011,71.5
Martinsville city,2011,47.5
Newport News city,2011,58.8
Norfolk city,2011,52.3
Norton city,2011,57.4
Petersburg city,2011,48.9
Poquoson city,2011,60.4
Portsmouth city,2011,54.4
Radford city,2011,47.2
Richmond city,2011,57.6
Roanoke city,2011,58.4
Salem city,2011,57.2
Staunton city,2011,55.3
Suffolk city,2011,58.8
Virginia Beach city,2011,60.9
Waynesboro city,2011,54.5
Williamsburg city,2011,45.5
Winchester city,2011,60.7
Accomack,2012,54.8
Albemarle,2012,58.9
Alleghany,2012,54.9
